title,balance,category,price
Power Biology G9-10 --Zeru Delelegn,41,CHI,20
Power Biology G11-12 -Fekadu Worku (M.Sc),29,CHI,250
Worldwide Biology G7-8,0,GEO,15
Aimiro Biology G11-12,1,PSY,150
Kurraaz Baayoloojii K7-8,0,ENG,52
Galaxy Study Notes for Invertebrate Zoology - Seyoum Mengistou (prof.),30,BIO,77
DVD Biology G7 /e-fanos,0,ENG,45
DVD Biology G8 /e-fanos,0,MAT,92
DVD Biology G9 /e-fanos,0,MAT,94
"Galaxy University Biology for Freshman -Abebe Getahun(Prof),Tilaye Wube(Phd),Fikadu Worku(Msc).",6,PHY,117
test,0,SCI,52
Komeetii BAayolojii 7-8,0,SCI,55
"BIODIVERSITY: PERCEPTION, PERIL & PRESERVATION, 2/E MAITI & MAITI",0,SCI,30
"INTRODUCTION TO MICROBIOLOGY - RAO,A.S",19,,34
Glossary of Some Ethiopian Plant Names - Kebede Tadesse,20,SCI,13
Micro and Small Enterprises as Vehicles for Poverty Reduction,0,PSY,150
Bentirperneshep Mebletseg,0,ACC,30
YeBusiness Mashashaya Qulefe Muyawoch,30,PSY,45.6
Yegize Ateqaqm Tebeb,0,FIC,79.99
The Ethiopian Jornal of Business And Economics,0,POE,35
Belansed Esekor Kard (BSC) Dereja Bedereja,0,REL,28
YeSera Amrar Tibebe,0,POE,20
Yeniged Sera Eqid(Business Plan),0,ACC,9
Rich Dad Poor Dad,0,BUS,35
Yhabt Menged Rich Dad Poor Dad,0,HIS,50
Interperineershiipii (Og-umma Hojji Umuu),0,FIC,55
YeBeletsegena Qulfe 3,0,PSY,150
Arate Yeseketama Busines Mistroch,0,FIC,80
YeBeletsegena Qulefe 4,0,FIC,27
YeHabet Qulef,0,HIS,120
Yesira Feterana Yebiltsigina Tibeb,0,FIC,71.5
YeHabet Mistere,0,PSY,120
Begile Teret,0,AGR,420
100 ye Businesna Amerare Higoch,31,CHI,20
Enterpreneurship Book 1,0,BIO,240
Entrepreneurship Rasina Hageren Lemabeltseg - Werotaw Bezabih Assefa (Dr.),32,ENG,70
Business & Managerial Communication -Sengupta,22,ENG,55
Business Ethics & Value System,0,SUB,70
Yebusiness Communication Tibeboch,0,MAT,87
Peasant Entrepreneurship and Rural Poverty Reduction,38,PHY,75
General Business Education Text G11,0,PHY,98
General Business Educatin Text G12,0,AMH,50
Advertising Planning and Implementation - Sharma/Singh,6,BIO,69
Yekubania Melkam Astedader,15,SUB,120
Yetransformation Amerar,0,SUB,120
Hulentenawi Biltsigina,0,SUB,85
Network Marketing Sigalet,0,SUB,85
Business Policy & Strategic Mgt,0,chart,35
Capital Markets Institutions and Instruments - Fabozzi/Modigliani,34,chart,13
Export-Import & Logistic Management,0,HIS,70
Fundamentals of Entrepreneurship - 3E - Nandan,104,FIC,71
Kayzen K 1,0,HEL,100
Kayzen K2,61,HEL,100
Siketama Business,5,DIC,60
"Business Communication - Bantie Workie, Yigremew Adal",369,AMH,48
Banking Principles & Practices - Emebet Melese et al,474,DIC,120
Kayzen Ygna Model,0,POE,25
Ygiliwon Sira Yifteru,0,AMH,85.95
Zemenawi Ynigd Aserar Siltina Ytirfamante Tibebe,0,AMH,16.75
Entrepreneurship Development --Sharma,0,AMH,22.6
The Ententional Entrepreneur - Bodde,0,AMH,22.6
Logistics Management -2nd Ailawadi/Singh,9,AMH,19.8
Globalization and Business - Daniels/Radebaugh/Sullivan,16,DIC,55
Business Communication -2nd Asha Kaul,14,CHI,50
